userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
52335722,ました,2021,2021-05-22 22:00:00,【ロードバイク】結月ゆかりと行く！四国真ん中旅行【大歩危峡・UFOライン】,sm38775543,2021-05-22 22:00:00,【ロードバイク】結月ゆかりと行く！四国真ん中旅行【大歩危峡・UFOライン】,sm38775543,False
52382195,くぼた,2026,2026-02-16 03:00:05,花梨ちゃんと走るクロスバイク日記 #1 〜はじめての車載〜,sm45952450,2026-03-08 23:15:04,花梨ちゃんと走るクロスバイク日記 #2 〜あぢとみ食堂に行こう〜,sm46037994,True
52543033,海鮮丼,2018,2018-07-28 21:33:04,セイカさんの散歩日記（仮）,sm33599021,2018-11-15 21:28:02,セイカさんの道北ツーリング その3,sm34177557,False
52543378,国友,2024,2024-09-23 10:52:03,【VOICEROID車載】ボイロ投稿者、自転車を買う。　～グラベルロードは伊勢神宮の夢を見るか？編　ACT.１～,sm44135371,2025-01-07 16:42:03,【VOICEROID車載】ボイロ投稿者、自転車を買う。　～戦国自走隊編⑦～,sm44513733,False
52594405,いずこ,2018,2018-08-27 17:36:02,結月さんちょっとバイクで何処まで Part 1【結月ゆかり車載】,sm33758489,2021-07-02 22:47:03,結月さんちょっとバイクで何処まで 北海道編 Part 3【結月ゆかり車載】,sm38969479,False
52809644,ナンエル,2022,2022-09-25 02:25:02,#1.0 荒川ライド 新砂訪問 SORA minivelo File,sm41129461,2022-09-25 02:25:02,#1.0 荒川ライド 新砂訪問 SORA minivelo File,sm41129461,False
52832887,おったまねぎ,2019,2019-09-02 10:27:01,【VOICEROID車載】バイク初心者がゆっくりで車載動画に挑戦 #1 初ツーリング編【YZF R3】,sm35627268,2020-05-31 19:00:00,【VOICEROID車載】バイク初心者がゆっくりで車載動画に挑戦 #7 群馬長野ツーリング前編【YZF R3】,sm36955302,False
52959748,ぜらちん,2021,2021-12-05 15:29:02,【VOICEROID車載】VTR250琴葉姉妹ツーリング-ポンポンペイン通院編-,sm39713993,2024-04-19 14:21:04,【VOICEROID車載】琴葉SafetyRiding #4【GB350】,sm43678165,False
53094934,ubundroid[あおいど],2024,2024-10-16 23:05:03,【日帰り旅行祭2024】つくばに車で行こう。,sm44222078,2024-10-16 23:05:03,【日帰り旅行祭2024】つくばに車で行こう。,sm44222078,False
53505357,ナガモン,2024,2024-05-24 21:23:02,【山口県】25Rで行くたまごっちゃツーリング,sm43828567,2025-01-16 23:08:03,【KTM】890Dukeで行く呉市 灰ヶ峰ツーリング,sm44546711,False
53574483,ごぼしゃん号運転手,2025,2025-08-22 02:13:03,【車載実況】きりたんと行くドライブ2025　①おうちから名神・多賀SAまで,sm45318403,2025-08-27 10:09:03,【車載実況】きりたんと行くドライブ2025　③徳光PA～長岡市内,sm45341662,True
53582279,IT-WEST,2025,2025-05-31 22:19:05,青春どうでしょう 第一話 「ポスターを求めて青春415km」,sm45041344,2025-05-31 22:19:05,青春どうでしょう 第一話 「ポスターを求めて青春415km」,sm45041344,False
53691187,キノ@ペンタブ練習中,2019,2019-11-08 19:04:02,【IA車載】初めてのお散歩ツーリング①【CBR250RR】,sm35925998,2019-12-21 01:56:02,【IA＆OИE車載】お散歩ツーリング②・スタンプラリー編,sm36112259,False
53705319,にらつき,2023,2023-10-22 09:29:03,【あかゆか自転車旅行記#1】夏の終わり・富士四湖巡り,sm42924181,2023-10-22 09:29:03,【あかゆか自転車旅行記#1】夏の終わり・富士四湖巡り,sm42924181,False
53782140,Yusa,2019,2019-02-24 18:00:00,【Part .0】ゆかりさん連れて、どこ行こう？　納車(？)編,sm34682056,2022-07-11 18:00:00,【2021夏旅Part Final】ゆかりさん連れて、どこ行こう？　降臨,sm40750260,False
53840440,ABBA,2024,2024-03-14 19:28:03,ボーソー・ドライブ・アカネチャン,sm43523140,2026-08-11 18:00:00,チバラギボイロ達何処へ行く？～アンチャーテッド・アコムプリス・エキサイト～,sm46654201,True
53922291,きんにく,2020,2020-09-11 19:15:00,【ゆっくり車載】まんじゅうとバイクの日々～2020北海道ツーリングPart1～,sm37502205,2024-05-26 21:00:00,年越し宗谷岬ツーリングin2023～ゆかりとバイクの日々～＃FINAL,sm43837286,False
54141666,バリスタ,2020,2020-02-25 18:49:02,週末なにしていますか？忙しいですか？走ってもらってもいいですか？,sm36419315,2024-09-02 18:00:00,日本一周しようと思ったけどできませんでした！　近況報告！,sm44056315,False
54157911,宮崎空色,2024,2024-08-19 18:00:00,自走式草刈機によるシンプル車載。,sm43992752,2025-07-12 20:25:05,鶏庭を巡るプラレールによるシンプル車載。,sm45180305,False
54197577,ととちぬ(煮付け),2022,2022-12-28 21:00:00,【CeVIO廃線解説】旧清水港線の廃線跡を駆け抜ける,sm41570179,2025-08-15 19:40:00,移住候補地を見に行こう！part4　移動日＆御坊市編,sm45289929,False
54213517,脇役,2017,2017-02-15 00:07:56,CB250Fでのゆっくり日本を知る旅　1期0話前編,sm30638038,2025-10-01 22:58:07,この広い世界をバイクで楽しむ旅！北海道　出発編　,sm45468205,True
54277531,渢凪(ふうなぎ),2026,2026-08-13 23:13:10,【ソフトウェアトーク車載】レンタルレーサー 花隈【花隈千冬投稿祭2026夏】,sm46664565,2026-08-13 23:13:10,【ソフトウェアトーク車載】レンタルレーサー 花隈【花隈千冬投稿祭2026夏】,sm46664565,True
54495992,ken,2016,2016-01-31 05:49:40,YZF-R25まったりツーリングpart1,sm28115869,2016-10-02 08:24:15,YZF-R25まったりツーリングpart3,sm29756908,False
